1|1,0|2,0|3,212|4,0|5,0|6,92|7,0|8,0|9,41|10,0|11,236|12,0|13,0|14,0|15,0|16,102|17,111|18,54|19,180|20,0|21,0|22,97|23,194|24,40|25,0|26,219|27,0|28,0|29,0|30,0|31,230|32,0|33,0|34,212|35,0|36,0|37,0|38,0|39,0|40,0
2|1,0|2,0|3,231|4,41|5,0|6,0|7,209|8,0|9,0|10,0|11,250|12,194|13,0|14,0|15,0|16,0|17,0|18,227|19,0|20,0|21,0|22,0|23,0|24,0|25,0|26,0|27,0|28,0|29,0|30,0|31,0|32,0|33,0|34,0|35,0|36,0|37,0|38,0|39,0|40,0
3|1,212|2,231|3,0|4,0|5,0|6,123|7,63|8,0|9,0|10,0|11,0|12,200|13,0|14,224|15,0|16,0|17,0|18,177|19,0|20,0|21,0|22,0|23,205|24,237|25,0|26,0|27,0|28,0|29,0|30,228|31,0|32,233|33,0|34,103|35,0|36,0|37,0|38,0|39,0|40,0
4|1,0|2,41|3,0|4,0|5,0|6,0|7,191|8,0|9,0|10,207|11,0|12,160|13,0|14,0|15,0|16,0|17,0|18,0|19,0|20,0|21,0|22,0|23,0|24,0|25,0|26,0|27,0|28,0|29,213|30,0|31,0|32,0|33,0|34,0|35,0|36,0|37,0|38,0|39,0|40,0
5|1,0|2,0|3,0|4,0|5,0|6,0|7,0|8,0|9,0|10,0|11,0|12,0|13,0|14,0|15,0|16,0|17,0|18,0|19,0|20,0|21,0|22,0|23,170|24,0|25,0|26,0|27,0|28,0|29,0|30,0|31,0|32,0|33,166|34,0|35,91|36,0|37,0|38,0|39,83|40,190
6|1,92|2,0|3,123|4,0|5,0|6,0|7,184|8,0|9,133|10,0|11,215|12,0|13,0|14,0|15,0|16,171|17,204|18,57|19,249|20,0|21,0|22,189|23,0|24,111|25,0|26,0|27,0|28,0|29,0|30,0|31,0|32,0|33,0|34,223|35,0|36,0|37,0|38,0|39,0|40,0
7|1,0|2,209|3,63|4,191|5,0|6,184|7,0|8,0|9,0|10,0|11,0|12,176|13,0|14,175|15,0|16,0|17,0|18,240|19,0|20,0|21,0|22,0|23,0|24,0|25,0|26,0|27,0|28,0|29,236|30,180|31,0|32,150|33,0|34,166|35,0|36,0|37,0|38,0|39,0|40,0
8|1,0|2,0|3,0|4,0|5,0|6,0|7,0|8,0|9,216|10,0|11,0|12,0|13,0|14,0|15,0|16,0|17,112|18,0|19,0|20,130|21,0|22,157|23,0|24,0|25,0|26,187|27,135|28,0|29,0|30,0|31,24|32,0|33,178|34,0|35,0|36,0|37,0|38,0|39,0|40,0
9|1,41|2,0|3,0|4,0|5,0|6,133|7,0|8,216|9,0|10,0|11,0|12,0|13,0|14,0|15,0|16,143|17,70|18,105|19,220|20,0|21,0|22,56|23,154|24,82|25,0|26,178|27,0|28,0|29,0|30,0|31,189|32,0|33,0|34,173|35,236|36,0|37,0|38,0|39,0|40,0
10|1,0|2,0|3,0|4,207|5,0|6,0|7,0|8,0|9,0|10,0|11,0|12,246|13,0|14,0|15,0|16,0|17,0|18,0|19,0|20,0|21,57|22,0|23,0|24,0|25,0|26,0|27,0|28,178|29,244|30,0|31,0|32,0|33,0|34,0|35,0|36,0|37,0|38,0|39,0|40,0
